feature_variant,lr,rollout_len,hidden_sizes,clip_coef,reward_temperature,max_episode_steps,seed,val_mse,final_reward,train_time_sec
full,0.0003,2048,"(256, 256)",0.2,0.2,512,0,6913.313,128.83843874664717,97.60621095803799
full,0.0003,2048,"(256, 256)",0.2,0.2,512,1,5986.808,136.62092666752554,97.62581983400742
full,0.0003,2048,"(256, 256)",0.2,0.2,512,2,6506.16,138.5614294787992,97.67076683300547
full,0.0003,2048,"(256, 256)",0.2,0.2,256,0,6371.16,66.94005990919115,97.70636487501906
full,0.0003,2048,"(256, 256)",0.2,0.2,256,1,6506.864,69.99158526239708,97.6860017090221
full,0.0003,2048,"(256, 256)",0.2,0.2,256,2,5508.9507,66.12497767682225,97.76359170896467
full,0.0003,2048,"(256, 256)",0.2,0.5,512,0,5319.8516,188.5311325158157,97.53469154197956
full,0.0003,2048,"(256, 256)",0.2,0.5,512,1,6786.1895,186.36470712639567,97.71766541700345
full,0.0003,2048,"(256, 256)",0.2,0.5,512,2,7595.436,185.72463113061423,97.50570800004061
full,0.0003,2048,"(256, 256)",0.2,0.5,256,0,4725.1045,91.21767561135378,98.67916958301794
full,0.0003,2048,"(256, 256)",0.2,0.5,256,1,5227.9644,91.2675289058124,100.12806724995608
full,0.0003,2048,"(256, 256)",0.2,0.5,256,2,6000.102,93.01948510072874,100.17331058299169
full,0.0003,2048,"(256, 256)",0.1,0.2,512,0,5046.913,130.33505066581816,100.10822879103944
full,0.0003,2048,"(256, 256)",0.1,0.2,512,1,5459.647,132.04140693942549,100.07267058297293
full,0.0003,2048,"(256, 256)",0.1,0.2,512,2,5814.4346,130.42639304931075,100.03891587501857
full,0.0003,2048,"(256, 256)",0.1,0.2,256,0,5938.4272,65.33994730692572,100.00753304199316
full,0.0003,2048,"(256, 256)",0.1,0.2,256,1,6548.2397,62.7452089897295,100.16291804198408
full,0.0003,2048,"(256, 256)",0.1,0.2,256,2,5346.6597,65.74891735735297,100.05025362496963
full,0.0003,2048,"(256, 256)",0.1,0.5,512,0,5180.4116,188.9520888986621,100.07465895899804
full,0.0003,2048,"(256, 256)",0.1,0.5,512,1,6128.936,182.68225651590583,100.13950712501537
full,0.0003,2048,"(256, 256)",0.1,0.5,512,2,5830.381,186.52391468989168,100.06240975001128
full,0.0003,2048,"(256, 256)",0.1,0.5,256,0,6283.585,91.72054536243742,100.11902149999514
full,0.0003,2048,"(256, 256)",0.1,0.5,256,1,6848.763,90.64735887466797,100.11582025000826
full,0.0003,2048,"(256, 256)",0.1,0.5,256,2,6127.5283,91.06378693830533,100.18570704199374
full,0.0001,1024,"(128, 128)",0.2,0.2,512,0,6043.625,135.87221655656072,105.87279291596496
full,0.0001,1024,"(128, 128)",0.2,0.2,512,1,4959.1177,132.5973862903216,105.86251100001391
full,0.0001,1024,"(128, 128)",0.2,0.2,512,2,4316.366,136.82547399870603,105.46352620795369
full,0.0001,1024,"(128, 128)",0.2,0.2,256,0,5305.201,66.92297932895235,105.67393295798684
full,0.0001,1024,"(128, 128)",0.2,0.2,256,1,6647.498,64.76535638331157,105.85049291700125
full,0.0001,1024,"(128, 128)",0.2,0.2,256,2,6843.6826,67.89585895071495,105.80937908298802
full,0.0001,1024,"(128, 128)",0.2,0.5,512,0,6486.703,187.03448102914803,106.01522324996768
full,0.0001,1024,"(128, 128)",0.2,0.5,512,1,5926.2334,191.58236036470453,105.91876137501094
full,0.0001,1024,"(128, 128)",0.2,0.5,512,2,5447.8164,190.53782398384703,105.90735537500586
full,0.0001,1024,"(128, 128)",0.2,0.5,256,0,7821.2373,90.59091081448186,105.86111783399247
full,0.0001,1024,"(128, 128)",0.2,0.5,256,1,6497.598,91.56887676785956,105.86239699996077
full,0.0001,1024,"(128, 128)",0.2,0.5,256,2,7286.8003,94.69077116577003,105.86470433400245
full,0.0001,1024,"(128, 128)",0.1,0.2,512,0,4917.0005,130.57661710730247,105.88190454198048
full,0.0001,1024,"(128, 128)",0.1,0.2,512,1,6331.883,131.69223182759117,105.69597254198743
full,0.0001,1024,"(128, 128)",0.1,0.2,512,2,5683.3506,130.33343022824312,105.86264770803973
full,0.0001,1024,"(128, 128)",0.1,0.2,256,0,5720.1313,62.227014103105226,105.91801849997137
full,0.0001,1024,"(128, 128)",0.1,0.2,256,1,5716.458,62.722320142774365,105.95071420801105
full,0.0001,1024,"(128, 128)",0.1,0.2,256,2,6081.3403,63.02215550436915,105.87887416599551
full,0.0001,1024,"(128, 128)",0.1,0.5,512,0,5960.274,190.54652202860737,105.88555220799753
full,0.0001,1024,"(128, 128)",0.1,0.5,512,1,5960.87,184.22426677307033,104.26290587504627
full,0.0001,1024,"(128, 128)",0.1,0.5,512,2,5560.6685,187.83611382862642,102.75896237499546
full,0.0001,1024,"(128, 128)",0.1,0.5,256,0,6762.568,88.98428642652249,104.29613537498517
full,0.0001,1024,"(128, 128)",0.1,0.5,256,1,5351.8125,89.2516754148844,105.50592879101168
full,0.0001,1024,"(128, 128)",0.1,0.5,256,2,5236.0127,93.9213676869015,105.3950980840018
full,0.0001,1024,"(256, 256)",0.2,0.2,512,0,5534.6357,133.3502880403292,105.34005037497263
full,0.0001,1024,"(256, 256)",0.2,0.2,512,1,3902.541,129.20708669472862,105.68545774999075
full,0.0001,1024,"(256, 256)",0.2,0.2,512,2,5476.284,132.30997487811788,105.36201304098358
full,0.0001,1024,"(256, 256)",0.2,0.2,256,0,4756.325,66.93628944519072,105.41915491700638
full,0.0001,1024,"(256, 256)",0.2,0.2,256,1,7080.137,66.42253187690628,105.4837582919863
full,0.0001,1024,"(256, 256)",0.2,0.2,256,2,5615.017,64.20068981488033,105.22890824999195
full,0.0001,1024,"(256, 256)",0.2,0.5,512,0,7551.2344,184.3874035068796,105.4517600829713
full,0.0001,1024,"(256, 256)",0.2,0.5,512,1,6713.9004,188.91841791428095,103.00404812494526
full,0.0001,1024,"(256, 256)",0.2,0.5,512,2,5861.4146,190.36687168199538,103.046460499987
full,0.0001,1024,"(256, 256)",0.2,0.5,256,0,6249.6157,90.95446199460142,102.87386920803692
full,0.0001,1024,"(256, 256)",0.2,0.5,256,1,5132.0913,92.3586475410863,103.00423595798202
full,0.0001,1024,"(256, 256)",0.2,0.5,256,2,6314.7983,96.89267591888473,102.94583279197104
full,0.0001,1024,"(256, 256)",0.1,0.2,512,0,5797.9224,133.2087953710279,102.27099116699537
full,0.0001,1024,"(256, 256)",0.1,0.2,512,1,5465.7817,134.78211074871064,102.4285235000425
full,0.0001,1024,"(256, 256)",0.1,0.2,512,2,4718.433,129.94747126126038,102.40609170799144
full,0.0001,1024,"(256, 256)",0.1,0.2,256,0,5302.1963,65.83403880251674,103.01459633302875
full,0.0001,1024,"(256, 256)",0.1,0.2,256,1,6259.228,65.18875154439314,102.24362483399455
full,0.0001,1024,"(256, 256)",0.1,0.2,256,2,5000.499,65.50596967758729,102.60310725000454
full,0.0001,1024,"(256, 256)",0.1,0.5,512,0,7020.369,183.22663409568946,102.1407381669851
full,0.0001,1024,"(256, 256)",0.1,0.5,512,1,6384.3643,185.498866125915,105.14605345804011
full,0.0001,1024,"(256, 256)",0.1,0.5,512,2,6081.212,191.0943977509116,105.65883124998072
full,0.0001,1024,"(256, 256)",0.1,0.5,256,0,4819.0015,87.54149159492287,105.66435995802749
full,0.0001,1024,"(256, 256)",0.1,0.5,256,1,6774.8804,90.31667433186246,105.38375504204305
full,0.0001,1024,"(256, 256)",0.1,0.5,256,2,5621.771,93.81567160662935,105.56233187502949
full,0.0001,2048,"(128, 128)",0.2,0.2,512,0,6197.1104,128.62620625626283,99.46220525004901
full,0.0001,2048,"(128, 128)",0.2,0.2,512,1,5604.0522,129.8721258594615,99.66276799998013
full,0.0001,2048,"(128, 128)",0.2,0.2,512,2,5664.3477,132.11514890289558,99.9627345839981
full,0.0001,2048,"(128, 128)",0.2,0.2,256,0,5204.471,63.005182951622736,99.63938470801804
full,0.0001,2048,"(128, 128)",0.2,0.2,256,1,6521.8135,65.7840403394101,99.53091695898911
full,0.0001,2048,"(128, 128)",0.2,0.2,256,2,5737.1123,64.81637548379194,99.81729608395835
full,0.0001,2048,"(128, 128)",0.2,0.5,512,0,6462.1797,186.18170241485237,98.7620595000335
full,0.0001,2048,"(128, 128)",0.2,0.5,512,1,7981.819,188.80592688474712,99.62932366598397
full,0.0001,2048,"(128, 128)",0.2,0.5,512,2,6531.147,182.89506713285698,98.86237408401212
full,0.0001,2048,"(128, 128)",0.2,0.5,256,0,6403.6846,91.7894002244005,98.27291508304188
full,0.0001,2048,"(128, 128)",0.2,0.5,256,1,5696.306,94.85760902466745,99.55210883298423
full,0.0001,2048,"(128, 128)",0.2,0.5,256,2,4675.498,93.07079693278244,99.90657783299685
full,0.0001,2048,"(128, 128)",0.1,0.2,512,0,5676.1514,128.2030738099509,99.76182437501848
full,0.0001,2048,"(128, 128)",0.1,0.2,512,1,5966.5273,125.65891105821333,99.70577037497424
full,0.0001,2048,"(128, 128)",0.1,0.2,512,2,5630.8545,127.19284000422022,99.95221766701434
full,0.0001,2048,"(128, 128)",0.1,0.2,256,0,5793.858,68.17674373219265,99.87337212497368
full,0.0001,2048,"(128, 128)",0.1,0.2,256,1,5742.1724,62.62726737163511,99.69592058303533
full,0.0001,2048,"(128, 128)",0.1,0.2,256,2,5600.609,64.88987731662452,100.0518901249743
full,0.0001,2048,"(128, 128)",0.1,0.5,512,0,5665.3027,183.85807769477213,99.6846314999857
full,0.0001,2048,"(128, 128)",0.1,0.5,512,1,6489.1797,181.772805508055,99.70707295899047
full,0.0001,2048,"(128, 128)",0.1,0.5,512,2,5359.942,182.4743226544802,99.96184475003975
full,0.0001,2048,"(128, 128)",0.1,0.5,256,0,5934.0312,90.82749632220032,99.5948876250186
full,0.0001,2048,"(128, 128)",0.1,0.5,256,1,6111.021,87.07905064488044,99.85242620902136
full,0.0001,2048,"(128, 128)",0.1,0.5,256,2,5708.711,91.06247641385023,100.04988162498921
full,0.0001,2048,"(256, 256)",0.2,0.2,512,0,5554.6294,133.84011725109096,99.4919079579995
full,0.0001,2048,"(256, 256)",0.2,0.2,512,1,6354.1284,130.2734215853562,99.66270033299224
full,0.0001,2048,"(256, 256)",0.2,0.2,512,2,4873.1113,126.7381642876459,99.76265641697682
full,0.0001,2048,"(256, 256)",0.2,0.2,256,0,5167.706,64.52544926253279,99.40715933300089
full,0.0001,2048,"(256, 256)",0.2,0.2,256,1,6474.692,65.09776645397099,97.47540870902594
full,0.0001,2048,"(256, 256)",0.2,0.2,256,2,5661.6274,65.67595139232945,97.55715316702845
full,0.0001,2048,"(256, 256)",0.2,0.5,512,0,5596.202,185.24380195600293,97.30246116599301
full,0.0001,2048,"(256, 256)",0.2,0.5,512,1,6579.433,189.4219281133385,96.8495654159924
full,0.0001,2048,"(256, 256)",0.2,0.5,512,2,6775.39,188.83339980121818,97.04221012495691
full,0.0001,2048,"(256, 256)",0.2,0.5,256,0,4675.246,91.1294426891109,97.21969466703013
full,0.0001,2048,"(256, 256)",0.2,0.5,256,1,6625.1157,90.10169425974591,96.94832645897986
full,0.0001,2048,"(256, 256)",0.2,0.5,256,2,5083.623,93.59834222170869,96.88492375001078
full,0.0001,2048,"(256, 256)",0.1,0.2,512,0,5714.295,131.22945657942606,96.8359258749988
full,0.0001,2048,"(256, 256)",0.1,0.2,512,1,6353.877,128.39042649818808,97.13223041698802
full,0.0001,2048,"(256, 256)",0.1,0.2,512,2,6063.1807,128.2604422677828,97.99814429198159
full,0.0001,2048,"(256, 256)",0.1,0.2,256,0,5755.5864,64.46633428168826,96.92961708299117
full,0.0001,2048,"(256, 256)",0.1,0.2,256,1,5994.493,64.26717596324701,99.95250708301319
full,0.0001,2048,"(256, 256)",0.1,0.2,256,2,5654.3354,64.48214387642562,99.692448124988
full,0.0001,2048,"(256, 256)",0.1,0.5,512,0,5782.3315,179.5999242260835,99.64113404095406
full,0.0001,2048,"(256, 256)",0.1,0.5,512,1,5784.0156,185.30870405986576,100.15061633300502
full,0.0001,2048,"(256, 256)",0.1,0.5,512,2,5857.451,179.8104664402177,99.68108116701478
full,0.0001,2048,"(256, 256)",0.1,0.5,256,0,6092.979,91.66406399480464,99.61833799997112
full,0.0001,2048,"(256, 256)",0.1,0.5,256,1,6370.0635,89.89892263627101,99.63096241699532
full,0.0001,2048,"(256, 256)",0.1,0.5,256,2,5523.5576,90.8859562948044,99.76062000001548
no_history,0.0003,1024,"(128, 128)",0.2,0.2,512,0,6176.818,142.53951185464328,105.67699300003005
no_history,0.0003,1024,"(128, 128)",0.2,0.2,512,1,4642.6387,139.40545949244827,104.14228287502192
no_history,0.0003,1024,"(128, 128)",0.2,0.2,512,2,7871.678,133.83988688190598,103.12002004100941
