feature_variant,lr,rollout_len,hidden_sizes,clip_coef,reward_temperature,max_episode_steps,val_mse_mean,val_mse_std,final_reward_mean,final_reward_std,train_time_mean,train_time_std
full,0.0003,2048,"(128, 128)",0.25,0.5,512,6624.2383,2588.8076,195.95100736832572,4.201430330812124,258.2162133193342,0.39817531707994597
full,0.0003,2048,"(256, 256)",0.2,0.5,512,7274.0015,1121.1022,200.30671754762602,1.074138979104012,258.1349781253375,0.0190208856910665
full,0.0003,2048,"(256, 256)",0.1,0.5,512,6392.4907,636.6982,193.12183757340156,2.4028933922765017,257.9512731806608,0.4034033011606185
full,0.0003,2048,"(256, 256)",0.25,0.5,512,8525.19,411.6008,195.4720926975308,3.282349234903576,257.7509917499847,0.5804619041735178
full,0.0003,2048,"(512, 512)",0.2,0.5,512,6102.9824,187.74557,199.5519541576617,1.3562923762686583,258.2756563749863,0.09250778474318481
full,0.0003,2048,"(512, 512)",0.1,0.5,512,6012.787,342.5242,193.00299498295047,1.7507978877989807,258.0417579586695,0.11329653273479698
full,0.0003,2048,"(512, 512)",0.25,0.5,512,6814.256,3033.2634,201.41802138733217,1.6266168044508111,258.1028876113317,0.2769947917114909
full,0.0001,512,"(128, 128)",0.2,0.5,512,11223.128,3648.471,195.58885079937068,3.489039371963199,262.67036908333347,0.419301332851065
full,0.0001,512,"(128, 128)",0.1,0.5,512,5685.2466,500.77383,190.42180689859433,1.7739105445811312,262.59492958333186,0.3920225352286428
full,0.0001,512,"(128, 128)",0.25,0.5,512,8433.456,3425.3005,193.35682463806214,1.7920499003804042,262.3815474583146,0.336373437071579
full,0.0001,512,"(256, 256)",0.2,0.5,512,7032.9097,1089.2765,193.0736468615554,2.9959227066319434,262.77201520799036,0.22096118419224037
full,0.0001,512,"(256, 256)",0.1,0.5,512,6257.64,1071.2848,191.25590953622364,2.3360089299182714,262.6636334720145,0.26037086112027974
full,0.0001,512,"(256, 256)",0.25,0.5,512,9084.582,4291.7974,192.73876765343115,2.723118710106232,262.6824189303443,0.45457155437567265
full,0.0001,512,"(512, 512)",0.2,0.5,512,10984.677,1451.0217,193.10583695686827,5.3254457009864415,262.21100843069144,0.2530787819798671
full,0.0001,512,"(512, 512)",0.1,0.5,512,5634.7036,1387.9374,193.1297979496907,3.3042081946743527,260.59640311133506,2.342420794419748
full,0.0001,512,"(512, 512)",0.25,0.5,512,10063.403,2305.7417,196.27376299123543,1.8119942644692328,256.6853937639971,0.39476395068859926
full,0.0001,1024,"(128, 128)",0.2,0.5,512,5444.377,1174.8389,194.68043087794686,2.782488218755089,253.50659551366698,0.15978583176741515
full,0.0001,1024,"(128, 128)",0.1,0.5,512,5135.054,645.013,191.2162050249352,2.8651393728718118,253.16676319433222,0.3649784653049134
full,0.0001,1024,"(128, 128)",0.25,0.5,512,8015.004,2378.103,198.99318020706036,1.6307843008591312,253.28062586133214,0.1679136062791647
full,0.0001,1024,"(256, 256)",0.2,0.5,512,7444.983,686.8651,196.2943146003547,2.429020997700983,252.77396638866048,0.20015832944522155
full,0.0001,1024,"(256, 256)",0.1,0.5,512,5872.8633,602.99194,193.73777191629938,2.169374597335391,258.44717723633704,0.28814234836353125
full,0.0001,1024,"(256, 256)",0.25,0.5,512,4708.2925,1389.4933,198.04831909651713,3.6497369214639277,258.4728424446851,0.44696277311481336
full,0.0001,1024,"(512, 512)",0.2,0.5,512,5893.715,537.23016,197.35813430712327,1.9363484297187505,258.9370922506787,0.28865645345188723
full,0.0001,1024,"(512, 512)",0.1,0.5,512,5870.2656,284.59927,193.44848354432654,2.5394038446399905,258.70490438865573,0.4808467834944093
full,0.0001,1024,"(512, 512)",0.25,0.5,512,8427.933,3973.2585,196.88111748309242,3.705520314299915,258.6099023473216,0.3281816183853859
full,0.0001,2048,"(128, 128)",0.2,0.5,512,6695.365,1301.8241,195.0163453543482,0.9820815671429031,258.3232883056626,0.20242336458113058
full,0.0001,2048,"(128, 128)",0.1,0.5,512,5754.5117,537.27985,191.02651663408565,3.2302677970230302,257.9473903469819,0.17954324088192813
full,0.0001,2048,"(128, 128)",0.25,0.5,512,6211.7383,504.01462,203.22456974143606,3.1544675989328,257.809421638997,0.18997343096095443
full,0.0001,2048,"(256, 256)",0.2,0.5,512,5849.2866,155.66257,194.07883527135178,0.33939936953447897,258.4439880413508,0.6334758468531437
full,0.0001,2048,"(256, 256)",0.1,0.5,512,6397.28,141.51292,188.82562670145657,2.976165623690181,258.1013599166763,0.10074519221789001
full,0.0001,2048,"(256, 256)",0.25,0.5,512,7458.4507,1424.0916,193.75316536642868,4.118927735595614,247.23218025003248,15.678090686068876
full,0.0001,2048,"(512, 512)",0.2,0.5,512,5244.2593,409.9879,195.48689554826126,2.73328454001931,214.51919273599438,0.4517754640884587
full,0.0001,2048,"(512, 512)",0.1,0.5,512,5970.822,133.1877,186.99053782285594,0.6872477041693598,215.06285634735832,0.4847686553736085
full,0.0001,2048,"(512, 512)",0.25,0.5,512,7347.184,1567.8933,199.44468031923915,1.2316898128216507,215.5652186946633,0.1649423151064158
full,0.0005,512,"(128, 128)",0.2,0.5,512,5540.859,232.60641,197.70137539335997,6.722779464469135,219.39526040264172,0.35234910037106826
full,0.0005,512,"(128, 128)",0.1,0.5,512,6108.9126,2027.3444,199.94985686678103,2.9868659742245525,219.5039001526699,0.0794237574100446
full,0.0005,512,"(128, 128)",0.25,0.5,512,9509.179,2962.6646,197.67087689173664,2.5659121658865907,219.40032752764333,0.5084287526734135
