feature_variant,lr,rollout_len,hidden_sizes,clip_coef,reward_temperature,max_episode_steps,val_mse_mean,val_mse_std,final_reward_mean,final_reward_std,train_time_mean,train_time_std
no_history,0.0003,2048,"(256, 256)",0.1,0.2,256,6221.5547,638.8569,63.01828786796833,0.4095914444171632,99.87709131933904,0.1080345199202235
no_history,0.0003,2048,"(256, 256)",0.1,0.5,512,5674.7017,484.2415,181.76055497056623,1.6716455054804902,99.89233087532921,0.09215787704078231
no_history,0.0003,2048,"(256, 256)",0.1,0.5,256,5778.7544,408.97427,90.71431375461846,1.3380762855240584,99.93659386102809,0.08892081202710314
no_history,0.0001,1024,"(128, 128)",0.2,0.2,512,6891.883,509.2451,132.1740638228401,1.2139357240983821,105.64434423633308,0.0641758903469798
no_history,0.0001,1024,"(128, 128)",0.2,0.2,256,6751.0493,958.3933,66.23607210595183,2.1434598903555147,105.34751745864439,0.04453473518442926
no_history,0.0001,1024,"(128, 128)",0.2,0.5,512,5790.529,1522.9487,188.73266864862072,1.1703367683172166,105.60326681934141,0.19170038080072666
no_history,0.0001,1024,"(128, 128)",0.2,0.5,256,6493.2266,855.0552,93.91828992388109,0.36140452817914365,105.62173898632561,0.04272705661419304
no_history,0.0001,1024,"(128, 128)",0.1,0.2,512,6298.594,454.20975,128.60954008651592,1.0932499256679282,105.5700289166416,0.18907371098763345
no_history,0.0001,1024,"(128, 128)",0.1,0.2,256,6530.5522,749.66895,65.35385480624804,1.7148363316527677,105.703859374645,0.050659133925978206
no_history,0.0001,1024,"(128, 128)",0.1,0.5,512,5748.4473,451.4024,185.11872812613436,2.117753961026059,105.56226623634575,0.05019583086702914
no_history,0.0001,1024,"(128, 128)",0.1,0.5,256,6083.1304,515.9437,90.29353675682866,1.8104180354968862,105.49358391664767,0.16623472497313377
no_history,0.0001,1024,"(256, 256)",0.2,0.2,512,6073.0312,1639.9829,133.97168405368075,2.37931061235018,105.71825723633326,0.3240677465361855
no_history,0.0001,1024,"(256, 256)",0.2,0.2,256,6201.141,1138.4154,65.68057542005276,2.9204618186122397,105.71042697234468,0.07823699299375197
no_history,0.0001,1024,"(256, 256)",0.2,0.5,512,6994.8027,1233.6078,189.85486810612892,1.5469265982756155,105.56674690300133,0.12773648730231915
no_history,0.0001,1024,"(256, 256)",0.2,0.5,256,6727.8687,1365.3594,94.96490912072427,2.74182660206626,105.71834151400253,0.1038088390666575
